id,store,category,title,titleFa,price,stock,rating,reviews,description,descriptionFa,specs,imageUrl
am001,amazon,electronics,"Apple MacBook Pro 14","مک‌بوک پرو ۱۴ اینچی اپل",52000000,5,4.8,245,"Latest M3 Pro MacBook","مک‌بوک پرو با تراشه M3 پرو | ۱۶ گیگابایت رم | ۵۱۲ گیگابایت اس‌اس‌دی","{""CPU"":""M3 Pro"",""RAM"":""16GB"",""Storage"":""512GB""}",/api/placeholder/400/300
am002,amazon,electronics,"Sony WH-1000XM5","هدفون سونی WH-1000XM5",12500000,8,4.9,189,"Sony Noise Cancelling Headphones","هدفون بی‌سیم سونی با حذف نویز فعال و کیفیت صدای فوق‌العاده","{""Type"":""Wireless"",""Battery"":""30h"",""NC"":""Yes""}",/api/placeholder/400/300
tr001,trendyol,fashion,"Evening Dress","لباس مجلسی زنانه",890000,15,4.7,167,"Elegant Evening Dress","پیراهن مجلسی بلند زنانه با طراحی شیک و پارچه لوکس","{""Size"":""S-XL"",""Material"":""Polyester"",""Color"":""Navy""}",/api/placeholder/400/300
tr002,trendyol,fashion,"Men's Suit","کت و شلوار مردانه",2450000,10,4.6,142,"Slim Fit Men's Suit","کت و شلوار مردانه فیت اسلیم با پارچه درجه یک","{""Size"":""48-56"",""Material"":""Wool"",""Color"":""Gray""}",/api/placeholder/400/300
nm001,namshi,fashion,"Nike Air Max","کفش نایک ایر مکس",3200000,7,4.8,234,"Nike Air Max Running Shoes","کفش ورزشی نایک ایر مکس اصل با تکنولوژی هوا","{""Size"":""40-45"",""Type"":""Sport"",""Color"":""Black/Red""}",/api/placeholder/400/300
am003,amazon,electronics,"Apple iPhone 15 Pro Max","آیفون ۱۵ پرو مکس",59900000,10,4.9,312,"Apple iPhone 15 Pro Max (256GB) - Natural Titanium, featuring A17 Pro chip, 48MP camera system, Dynamic Island, and ProMotion display","آیفون ۱۵ پرو مکس با بدنه تیتانیوم، تراشه A17 Pro، دوربین ۴۸ مگاپیکسلی و نمایشگر پرو‌موشن","{""CPU"":""A17 Pro"",""RAM"":""8GB"",""Storage"":""256GB"",""Display"":""6.7inch""}",/api/placeholder/400/300
am004,amazon,electronics,"Samsung 65\" QN95C Neo QLED","تلویزیون ۶۵ اینچ سامسونگ QN95C",82500000,4,4.8,167,"Samsung's 2024 flagship 4K Neo QLED TV with Neural Quantum Processor 4K","تلویزیون پرچمدار ۴K Neo QLED سامسونگ مدل ۲۰۲۴ با پردازنده Neural Quantum","{\"Dimensions\":\"1449.5 x 831.0 x 25.1 mm\",\"Weight\":\"21.3 kg\"}","https://example.com/samsung_qn95c.jpg"am005,amazon,home,"LG SIGNATURE Washer/Dryer","ماشین لباسشویی ال جی سیگنچر",45800000,3,4.7,89,"LG SIGNATURE 2024 AI-powered Washer/Dryer Combo with Steam and TurboWash","ماشین لباسشویی و خشک‌کن هوشمند ال جی با قابلیت بخارشویی و شستشوی سریع","{""Capacity"":""12kg"",""Energy"":""A+++"",""Programs"":""15""}",/api/placeholder/400/300
tr003,trendyol,fashion,"ZARA Premium Wool Coat","پالتو پشمی زارا",4850000,12,4.6,234,"ZARA Women's Premium Wool Blend Coat - Winter 2024 Collection, Italian Fabric","پالتو پشمی زنانه زارا از کالکشن زمستان ۲۰۲۴ با پارچه ایتالیایی","{""Material"":""70% Wool"",""Size"":""36-44"",""Origin"":""Turkey""}",/api/placeholder/400/300
tr004,trendyol,accessories,"Michael Kors Mercer","کیف مایکل کورس مرسر",8900000,6,4.8,156,"Michael Kors Mercer Gallery Medium Leather Satchel - Spring 2024","کیف چرم اصل مایکل کورس مدل مرسر از کالکشن بهار ۲۰۲۴","{""Material"":""Genuine Leather"",""Size"":""Medium"",""Hardware"":""Gold""}",/api/placeholder/400/300
tr005,trendyol,beauty,"Dior Backstage Set","ست آرایش دیور",4200000,8,4.9,178,"Dior Backstage Professional Performance Collection - Full Face Kit","ست کامل لوازم آرایش حرفه‌ای دیور سری بک‌استیج","{""Items"":""8pcs"",""Type"":""Luxury"",""Collection"":""2024""}",/api/placeholder/400/300
nm002,namshi,fashion,"Nike Zoom Alphafly 3","نایک زوم آلفافلای ۳",4850000,15,4.8,267,"Nike Air Zoom Alphafly NEXT% 3 - Professional Marathon Running Shoes","کفش دو ماراتن نایک با فناوری زوم ایر و کفی ریکاوری","{""Technology"":""ZoomX"",""Weight"":""237g"",""Drop"":""8mm""}",/api/placeholder/400/300
nm003,namshi,accessories,"Prada Linea Rossa","عینک پرادا لینیا روسا",12500000,4,4.7,92,"Prada Linea Rossa PS51ZS Sunglasses - Polarized Active Sport","عینک آفتابی اسپرت پرادا با لنز پلاریزه و فریم سبک","{""Lens"":""Polarized"",""UV"":""400"",""Frame"":""Titanium""}",/api/placeholder/400/300
nm004,namshi,sports,"Under Armour RUSH","ست ورزشی آندر آرمور راش",2850000,20,4.6,145,"Under Armour RUSH™ 2024 Training Collection - HeatGear® Technology","ست ورزشی آندر آرمور با فناوری راش و هیت‌گیر","{""Technology"":""RUSH™"",""Fabric"":""HeatGear"",""Protection"":""UPF30""}",/api/placeholder/400/300
